python,javascript,sql,machine_learning,statistics,react,nodejs,docker,kubernetes,networking,linux,swift,kotlin,cloud,data_analysis,deep_learning,communication,project_management,uiux_design,git,career_track
10,2,7,10,9,3,1,3,0,4,4,1,3,4,5,10,2,0,3,8,AI/ML Engineer
4,2,5,1,2,0,4,8,8,4,6,1,1,8,0,2,5,2,2,10,DevOps Engineer
5,6,3,2,2,9,6,4,1,4,0,1,3,2,2,4,6,3,8,10,UI/UX Designer
3,8,7,1,1,8,3,2,3,1,3,4,1,1,4,3,8,3,9,10,UI/UX Designer
6,6,4,2,1,4,1,2,2,2,2,7,10,4,2,3,3,3,9,9,Mobile Developer
5,4,3,2,4,1,0,8,7,6,7,2,4,9,3,3,3,2,3,7,DevOps Engineer
7,1,7,2,3,0,3,10,8,6,8,2,4,9,2,2,5,3,2,5,Cloud Architect
7,3,6,10,7,1,1,3,1,4,3,2,3,4,5,7,3,4,4,9,AI/ML Engineer
6,4,9,6,6,3,2,0,1,3,0,4,1,3,7,4,5,1,2,6,Data Scientist
6,0,3,1,2,0,2,8,10,5,10,1,1,7,4,4,4,4,3,9,DevOps Engineer
6,3,4,6,8,4,0,3,4,3,4,3,2,3,6,7,2,3,0,7,AI/ML Engineer
7,8,6,1,1,8,4,4,3,1,3,0,3,2,4,1,10,6,7,10,UI/UX Designer
6,9,4,2,0,7,9,7,3,4,0,4,1,4,2,1,3,1,8,6,Web Developer
9,4,6,3,1,1,1,3,7,9,10,3,3,9,3,2,5,0,1,9,Cybersecurity Analyst
4,10,3,3,0,9,10,6,3,2,4,1,1,4,1,4,4,2,7,9,Web Developer
3,8,5,4,1,9,5,4,1,0,3,1,4,4,4,4,10,6,8,8,UI/UX Designer
10,0,7,9,9,0,3,5,4,2,6,0,0,5,6,10,3,3,0,7,AI/ML Engineer
3,9,3,1,0,7,7,3,2,0,4,4,2,1,2,4,5,0,8,7,Web Developer
6,7,4,2,0,7,4,3,0,3,4,7,6,0,2,1,4,3,6,9,Mobile Developer
7,4,6,6,8,3,3,6,0,0,6,3,1,5,7,10,4,0,0,7,AI/ML Engineer
7,7,5,4,2,7,6,6,3,1,3,2,3,1,1,2,6,3,6,10,Web Developer
6,9,5,4,1,6,10,7,0,4,2,4,2,1,1,3,5,1,10,6,Web Developer
6,9,7,3,2,7,6,1,0,4,3,1,0,4,4,0,9,6,7,8,UI/UX Designer
9,6,5,4,3,1,5,4,4,8,6,2,4,3,4,2,7,2,0,8,Blockchain Developer
7,4,3,0,4,1,2,6,7,7,9,0,3,7,2,1,5,1,0,6,DevOps Engineer
9,1,6,8,9,1,4,3,1,0,0,3,3,5,7,6,5,2,3,3,Data Scientist
7,1,5,2,4,2,4,6,8,8,10,4,1,8,3,4,6,3,0,6,Cloud Architect
5,8,4,3,0,6,3,2,0,0,2,0,1,4,1,3,7,4,8,9,UI/UX Designer
10,4,3,9,10,2,1,4,1,0,5,2,2,5,5,9,2,2,0,6,AI/ML Engineer
6,4,4,2,1,2,1,10,10,6,7,1,3,9,4,4,4,4,4,7,DevOps Engineer
5,1,5,3,2,4,3,7,6,9,10,2,1,7,4,4,6,3,0,5,Cloud Architect
7,7,4,1,4,4,4,6,0,6,10,3,3,5,4,3,6,0,3,9,Blockchain Developer
10,4,9,7,6,1,4,1,3,0,3,0,4,3,6,3,4,1,4,3,Data Scientist
3,8,3,4,3,10,7,7,0,4,0,1,4,3,3,3,7,4,10,6,Web Developer
3,8,7,1,3,7,5,3,4,2,1,0,2,2,1,4,7,4,10,10,UI/UX Designer
